old	new
BMK13223_InSedAlveolata_Alveolata	BMK13223_Perkinsidae_Alveolata
BMK13380_InSedAlveolata_Alveolata	BMK13380_Colpodellida_Alveolata
BMK13402_InSedStramenopiles_Stramenopiles	BMK13402_Cantina_Stramenopiles
BMK1344_InSedAlveolata_Alveolata	BMK1344_Perkinsidae_Alveolata
BMK13525_Apicomplexa_Alveolata	BMK13525_Colpodellida_Alveolata
BMK13728_BasalFungi_Opisthokonta	BMK13728_InSedEukaryota_OtherEukaryota
BMK1386_BasalFungi_Opisthokonta	BMK1386_Chytridiomycota_Opisthokonta
BMK13882_BasalFungi_Opisthokonta	BMK13882_Rotosphaerida_Opisthokonta
BMK13908_InSedOpisthokonta_Opisthokonta	BMK13908_InSedEukaryota_OtherEukaryota
BMK14175_BasalFungi_Opisthokonta	BMK14175_Chytridiomycota_Opisthokonta
BMK14191_InSedAlveolata_Alveolata	BMK14191_Perkinsidae_Alveolata
BMK14225_Apicomplexa_Alveolata	BMK14225_Colpodellida_Alveolata
BMK14499_BasalFungi_Opisthokonta	BMK14499_NCLC1_Opisthokonta
BMK14560_InSedOpisthokonta_Opisthokonta	BMK14560_InSedEukaryota_OtherEukaryota
BMK1461_BasalFungi_Opisthokonta	BMK1461_Rotosphaerida_Opisthokonta
BMK14778_InSedAlveolata_Alveolata	BMK14778_Perkinsidae_Alveolata
BMK14805_BasalFungi_Opisthokonta	BMK14805_InSedEukaryota_OtherEukaryota
BMK14991_BasalFungi_Opisthokonta	BMK14991_Rozellomycota_Opisthokonta
BMK15595_Apicomplexa_Alveolata	BMK15595_InSedAlveolata_Alveolata
BMK1574_Apicomplexa_Alveolata	BMK1574_InSedAlveolata_Alveolata
BMK15896_BasalFungi_Opisthokonta	BMK15896_InSedOpisthokonta_Opisthokonta
BMK16239_BasalFungi_Opisthokonta	BMK16239_Rozellomycota_Opisthokonta
BMK16537_BasalFungi_Opisthokonta	BMK16537_Rotosphaerida_Opisthokonta
BMK16830_BasalFungi_Opisthokonta	BMK16830_InSedEukaryota_OtherEukaryota
BMK17018_BasalFungi_Opisthokonta	BMK17018_Rotosphaerida_Opisthokonta
BMK1708_InSedAlveolata_Alveolata	BMK1708_Perkinsidae_Alveolata
BMK17293_BasalFungi_Opisthokonta	BMK17293_Rotosphaerida_Opisthokonta
BMK1765_BasalFungi_Opisthokonta	BMK1765_Rozellomycota_Opisthokonta
BMK179_BasalFungi_Opisthokonta	BMK179_Rotosphaerida_Opisthokonta
BMK17995_BasalFungi_Opisthokonta	BMK17995_Rotosphaerida_Opisthokonta
BMK1808_Perkinsidae_Alveolata	BMK1808_InSedAlveolata_Alveolata
BMK18084_Apicomplexa_Alveolata	BMK18084_Colpodellida_Alveolata
BMK1902_InSedOpisthokonta_Opisthokonta	BMK1902_InSedEukaryota_OtherEukaryota
BMK1930_BasalFungi_Opisthokonta	BMK1930_Chytridiomycota_Opisthokonta
BMK19737_InSedOpisthokonta_Opisthokonta	BMK19737_InSedEukaryota_OtherEukaryota
BMK19758_BasalFungi_Opisthokonta	BMK19758_Rotosphaerida_Opisthokonta
BMK19873_InSedOpisthokonta_Opisthokonta	BMK19873_InSedEukaryota_OtherEukaryota
BMK2081_BasalFungi_Opisthokonta	BMK2081_Chytridiomycota_Opisthokonta
BMK212_BasalFungi_Opisthokonta	BMK212_Chytridiomycota_Opisthokonta
BMK2122_InSedAlveolata_Alveolata	BMK2122_Colpodellida_Alveolata
BMK21248_BasalFungi_Opisthokonta	BMK21248_Rotosphaerida_Opisthokonta
BMK2202_BasalFungi_Opisthokonta	BMK2202_Rozellomycota_Opisthokonta
BMK2204_InSedOpisthokonta_Opisthokonta	BMK2204_InSedEukaryota_OtherEukaryota
BMK2238_InSedAlveolata_Alveolata	BMK2238_Perkinsidae_Alveolata
BMK2303_BasalFungi_Opisthokonta	BMK2303_Rotosphaerida_Opisthokonta
BMK2350_BasalFungi_Opisthokonta	BMK2350_Rotosphaerida_Opisthokonta
BMK2429_Perkinsidae_Alveolata	BMK2429_InSedAlveolata_Alveolata
BMK2448_BasalFungi_Opisthokonta	BMK2448_Rotosphaerida_Opisthokonta
BMK2484_BasalFungi_Opisthokonta	BMK2484_Chytridiomycota_Opisthokonta
BMK2521_InSedOpisthokonta_Opisthokonta	BMK2521_InSedEukaryota_OtherEukaryota
BMK2537_InSedAlveolata_Alveolata	BMK2537_Perkinsidae_Alveolata
BMK2565_BasalFungi_Opisthokonta	BMK2565_NCLC1_Opisthokonta
